datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,temperature_2m,relative_humidity_2m,surface_pressure,pressure_msl,precipitation,cloudcover,windspeed_10m,direct_radiation
2020-11-25 01:00:00,2937.32,6.26,51.41,0.77,25.99,243.48,314.88,60.8,5.0,10.0,88.0,872.4,1018.3,0.0,3.0,2.5,0.0
2020-11-25 02:00:00,3311.16,14.98,49.35,4.96,29.8,257.94,346.24,71.94,5.0,9.6,87.0,871.9,1018.0,0.0,3.0,2.2,0.0
2020-11-25 03:00:00,3791.81,21.68,52.78,25.03,32.9,289.31,393.51,78.02,5.0,9.5,86.0,871.5,1017.6,0.0,0.0,2.5,0.0
2020-11-25 04:00:00,1121.52,4.19,20.74,85.83,22.65,95.82,120.04,13.93,5.0,9.2,85.0,871.3,1017.5,0.0,0.0,2.9,0.0
2020-11-25 05:00:00,1001.36,3.07,17.14,118.73,23.6,101.84,122.11,10.26,5.0,8.4,89.0,870.9,1017.5,0.0,14.0,5.2,0.0
2020-11-25 06:00:00,947.95,1.93,13.37,157.36,23.84,116.36,136.19,8.49,5.0,9.1,86.0,871.6,1017.9,0.0,64.0,3.7,0.0
2020-11-25 07:00:00,700.95,0.71,5.66,161.65,15.14,94.06,108.58,5.45,5.0,10.8,82.0,873.3,1018.9,0.0,58.0,5.1,28.0
2020-11-25 08:00:00,574.11,0.35,3.0,153.07,10.13,76.3,88.4,4.18,5.0,15.2,64.0,876.1,1019.9,0.0,35.0,1.1,146.0
2020-11-25 09:00:00,520.71,0.26,2.66,145.91,7.87,65.92,77.76,3.96,5.0,17.0,54.0,877.2,1020.2,0.0,39.0,1.1,307.0
2020-11-25 10:00:00,921.25,1.12,13.02,104.43,7.45,82.6,108.96,9.25,5.0,18.6,48.0,877.5,1019.7,0.0,43.0,2.4,415.0
2020-11-25 11:00:00,1628.88,1.1,31.53,58.65,7.45,119.46,167.64,14.82,5.0,19.3,47.0,876.9,1018.6,0.0,51.0,5.2,481.0
2020-11-25 12:00:00,2429.96,0.31,54.15,19.49,8.11,159.79,227.59,20.01,5.0,19.5,48.0,876.4,1017.9,0.0,63.0,7.6,473.0
2020-11-25 13:00:00,3097.53,4.53,63.75,2.26,10.97,204.85,293.27,27.87,5.0,19.3,49.0,875.6,1017.1,0.0,72.0,7.9,342.0
2020-11-25 14:00:00,3631.59,14.31,58.26,0.1,13.47,252.09,362.96,35.97,5.0,18.7,51.0,874.8,1016.5,0.0,86.0,7.4,256.0
